Frame,Time,FaceDetected,LeftIrisX,LeftIrisY,RightIrisX,RightIrisY,EAR,Blink,TotalBlinks,Yaw,Pitch,Roll,HorizontalGaze,VerticalGaze,OnScreen,HorizontalRatio,VerticalRatio,AttentionState
58,2.344,True,830.0,216.0,896.0,232.0,0.4679,False,1,40.87686874515688,18.355161022246673,-177.84619411052927,Right,Down,False,0.744,0.883,Looking Right
59,2.385,True,798.0,215.0,869.0,227.0,0.3987,False,1,39.76712899772067,21.185127134386683,-179.93108655057696,Right,Down,False,0.739,0.913,Looking Right
60,2.425,True,755.0,216.0,836.0,228.0,0.3202,False,1,48.94211921424571,38.55239533339543,15.559378939004937,Right,Down,False,0.705,0.808,Looking Right
61,2.466,True,727.0,220.0,806.0,233.0,0.1822,True,2,25.920477331998423,16.335392720416163,-179.4983819840838,Closed,Closed,False,0.917,1.663,Blink
62,2.506,True,662.0,232.0,775.0,239.0,0.1436,False,2,19.25469412501361,26.091308715084697,-177.95594409082358,Closed,Closed,False,0.529,0.493,Eyes Closed
63,2.547,True,626.0,239.0,737.0,244.0,0.0939,False,2,19.365885030116097,38.284021482169045,4.236009626950572,Closed,Closed,False,0.54,0.369,Eyes Closed
64,2.587,True,599.0,238.0,710.0,236.0,0.1499,False,2,14.538244689771119,35.98892231325128,1.581076486474069,Closed,Closed,False,0.572,0.669,Eyes Closed
65,2.627,True,570.0,233.0,687.0,227.0,0.2714,False,2,7.675745428378763,24.32352135309232,177.92428190300546,Left,Down,False,0.369,0.675,Looking Left
66,2.668,True,570.0,232.0,686.0,226.0,0.2961,False,2,4.124550034533395,22.77154772648428,177.08457000482355,Left,Down,False,0.378,0.566,Looking Left
67,2.708,True,588.0,226.0,702.0,222.0,0.2566,False,2,1.907607068479658,33.44386916819287,-1.7190614470501266,Center,Down,False,0.515,0.473,Looking Down
68,2.749,True,602.0,220.0,718.0,220.0,0.2783,False,2,0.8826245894644038,35.25146857700232,-0.5446723881462493,Center,Down,False,0.53,0.445,Looking Down
69,2.789,True,622.0,216.0,738.0,216.0,0.2562,False,2,1.0459303121174284,34.90445790295895,-0.22027646978229956,Center,Down,False,0.497,0.48,Looking Down
70,2.83,True,644.0,215.0,765.0,215.0,0.2562,False,2,-5.058243168718062,24.069551184169743,-179.42433588033126,Center,Down,False,0.497,0.484,Looking Down
71,2.87,True,665.0,211.0,786.0,211.0,0.2618,False,2,-6.3513380932652534,22.9416920524087,-178.99946595264169,Center,Down,False,0.516,0.481,Looking Down
72,2.91,True,683.0,210.0,808.0,208.0,0.2862,False,2,-6.929804364457588,25.561832904898868,-179.56140955812907,Center,Down,False,0.528,0.52,Looking Down
