Frame,Time,FaceDetected,LeftIrisX,LeftIrisY,RightIrisX,RightIrisY,EAR,Blink,TotalBlinks,Yaw,Pitch,Roll,HorizontalGaze,VerticalGaze,OnScreen,HorizontalRatio,VerticalRatio,AttentionState
95,5.696,True,650,313,797,308,0.2595,False,2,-6.189646375086662,3.33805521971503,-179.87310129354466,Center,Center,True,0.475,0.543,Focused
96,5.756,True,652,318,798,313,0.2562,False,2,-5.740869669732178,0.38967348071479335,-179.85641043557172,Center,Center,True,0.485,0.579,Focused
97,5.816,True,652,323,799,319,0.2518,False,2,-5.2641038846075965,-1.4385191164396554,-179.6490563006331,Center,Center,True,0.465,0.53,Focused
98,5.876,True,652,328,799,324,0.2543,False,2,-4.869722778464197,-6.091333966619555,-179.77678041998075,Center,Center,True,0.469,0.513,Focused
99,5.936,True,651,330,798,326,0.2508,False,2,-4.798478065728191,-7.096661016139881,179.86828129557904,Center,Center,True,0.476,0.509,Focused
100,5.996,True,650,330,800,326,0.2473,False,2,-5.149205022080954,-8.914094042515535,-179.93183919503068,Center,Center,True,0.471,0.503,Focused
101,6.056,True,651,332,800,328,0.2509,False,2,-4.524209685269065,-8.668641348963003,-179.88603227635494,Center,Center,True,0.47,0.494,Focused
102,6.115,True,650,334,799,330,0.2467,False,2,-4.29799560149138,-9.898860403181713,179.95568225332246,Center,Center,True,0.457,0.472,Focused
103,6.175,True,650,336,799,331,0.2542,False,2,-4.433198085540552,-10.329311257724425,179.9246195928776,Center,Center,True,0.475,0.494,Focused
104,6.235,True,648,335,797,330,0.2563,False,2,-4.26491856026838,-11.12124576371576,179.79058875599947,Center,Center,True,0.472,0.487,Focused
105,6.295,True,647,333,796,329,0.2507,False,2,-4.631523215394541,-9.714458536402606,179.8473415472993,Center,Center,True,0.471,0.472,Focused
106,6.355,True,646,334,796,329,0.2514,False,2,-4.624201777215389,-9.392345525405185,179.81104867603221,Center,Center,True,0.471,0.47,Focused
107,6.415,True,647,334,797,331,0.2514,False,2,-4.76588089847597,-10.604124493141153,179.92375405204535,Center,Center,True,0.473,0.454,Focused
108,6.475,True,648,335,797,331,0.2541,False,2,-4.590470215433715,-11.932299215793547,179.88032088401647,Center,Center,True,0.478,0.498,Focused
109,6.535,True,648,334,799,329,0.2595,False,2,-4.686094431886441,-12.817147531373667,-179.82748600381004,Center,Up,False,0.482,0.493,Looking Up
110,6.595,True,648,333,799,328,0.2539,False,2,-4.83639103241317,-11.322701035460609,-179.90394257931823,Center,Center,True,0.476,0.492,Focused
111,6.655,True,649,333,799,329,0.2438,False,2,-5.093030209072928,-10.071145010624571,-179.9207040948461,Center,Center,True,0.478,0.499,Focused
112,6.715,True,650,335,800,331,0.2542,False,2,-4.928703741941435,-11.16910353043259,-179.7376057534687,Center,Center,True,0.477,0.506,Focused
113,6.775,True,650,335,801,331,0.2502,False,2,-4.571026754459313,-11.876750620568941,179.9832427553856,Center,Center,True,0.47,0.463,Focused
114,6.835,True,651,334,801,330,0.2575,False,2,-4.94895919419016,-11.804136504926811,-179.71773601989537,Center,Center,True,0.475,0.487,Focused
115,6.895,True,650,332,801,329,0.255,False,2,-4.789719095653354,-11.573216621940709,-179.91409020935512,Center,Center,True,0.48,0.505,Focused
116,6.955,True,650,334,800,331,0.2497,False,2,-4.711600840024009,-10.662242791070616,-179.8242125463422,Center,Center,True,0.468,0.468,Focused
117,7.015,True,650,335,801,332,0.2508,False,2,-4.5327426994051,-11.979248516672012,-179.95561056749358,Center,Center,True,0.472,0.482,Focused
118,7.075,True,651,335,801,332,0.2507,False,2,-4.673665686726024,-12.073681662461707,179.87543497474795,Center,Up,False,0.473,0.461,Looking Up
119,7.135,True,652,335,803,331,0.2635,False,2,-4.4465300158515255,-12.34194913163048,179.97052737266952,Center,Up,False,0.491,0.517,Looking Up
120,7.195,True,652,334,803,330,0.2458,False,2,-5.042552238807416,-11.069297481956925,-179.79228925676304,Center,Center,True,0.468,0.473,Focused
121,7.255,True,652,335,802,332,0.2488,False,2,-4.805408384379357,-12.856968065316664,-179.6175518561274,Center,Up,False,0.463,0.448,Looking Up
122,7.315,True,650,335,802,332,0.2434,False,2,-4.655320351635199,-12.379789602964333,179.80872984949562,Center,Up,False,0.47,0.468,Looking Up
123,7.375,True,651,336,802,332,0.2528,False,2,-4.676356889029023,-11.164838429242561,-179.93717383987135,Center,Center,True,0.48,0.495,Focused
124,7.435,True,652,335,803,330,0.2576,False,2,-4.740942287705152,-11.274772270321524,-179.81808518105663,Center,Center,True,0.487,0.51,Focused
125,7.494,True,652,334,803,331,0.2537,False,2,-4.634428859978503,-10.397864247415596,-179.94617859132222,Center,Center,True,0.482,0.483,Focused
126,7.554,True,653,336,805,332,0.2397,False,2,-4.748082859435484,-11.285509551015785,-179.74611958715164,Center,Center,True,0.473,0.48,Focused
127,7.614,True,653,337,805,333,0.2405,False,2,-4.732973095111722,-13.542774198074868,-179.8378570231961,Center,Up,False,0.474,0.473,Looking Up
128,7.674,True,652,336,803,333,0.252,False,2,-4.65001635543558,-13.316591673692347,179.9129666199675,Center,Up,False,0.478,0.472,Looking Up
129,7.734,True,652,336,804,331,0.2567,False,2,-4.846870207883868,-12.938868655207722,-179.86678557242882,Center,Up,False,0.47,0.503,Looking Up
130,7.794,True,653,335,804,331,0.2442,False,2,-4.914128389781799,-11.72414231761268,-179.589526804123,Center,Center,True,0.469,0.466,Focused
131,7.854,True,654,336,805,332,0.2516,False,2,-4.717874445386763,-12.336857652648709,179.99653374061094,Center,Up,False,0.476,0.5,Looking Up
132,7.914,True,653,336,804,333,0.2474,False,2,-4.680338973227198,-11.411501367804536,179.87082910516108,Center,Center,True,0.472,0.449,Focused
133,7.974,True,654,336,804,332,0.2665,False,2,-4.4710415244330814,-12.294439488620432,179.67582934817324,Center,Up,False,0.485,0.494,Looking Up
134,8.034,True,654,336,805,331,0.2548,False,2,-4.992182330806097,-11.655148318941126,-179.94637373569307,Center,Center,True,0.47,0.484,Focused
135,8.094,True,653,335,804,331,0.2542,False,2,-4.826424371381761,-10.967806778239824,179.85072090516542,Center,Center,True,0.483,0.512,Focused
136,8.154,True,655,334,805,331,0.255,False,2,-4.52477804312442,-10.617848911974272,179.94976987347698,Center,Center,True,0.48,0.486,Focused
137,8.214,True,654,335,805,330,0.2576,False,2,-4.408214425690631,-11.130429468422358,179.79308739139896,Center,Center,True,0.486,0.525,Focused
138,8.274,True,654,334,803,330,0.2591,False,2,-4.357595164784839,-9.911286888068362,-179.99667136845272,Center,Center,True,0.482,0.511,Focused
139,8.334,True,653,334,803,329,0.2542,False,2,-4.461176030530524,-9.175996317486865,179.86257034615775,Center,Center,True,0.477,0.507,Focused
140,8.394,True,653,333,803,329,0.2556,False,2,-4.4495891247098,-9.044380062504386,179.99595385147953,Center,Center,True,0.476,0.493,Focused
141,8.454,True,652,333,802,328,0.2618,False,2,-4.5309768836432145,-9.742823011131168,179.9197258345581,Center,Center,True,0.479,0.512,Focused
142,8.514,True,652,334,801,330,0.2341,False,2,-4.827151959162949,-7.061838412999339,179.8254660151946,Center,Center,True,0.484,0.5,Focused
143,8.574,True,654,339,794,337,0.1361,True,3,-5.282903467717786,-5.6397991615411796,-179.91990120213922,Closed,Closed,False,0.505,0.482,Eyes Closed
144,8.634,True,654,339,793,334,0.1632,False,3,-4.844089855583138,-6.008709929634813,179.51324867797035,Closed,Closed,False,0.512,0.534,Eyes Closed
145,8.694,True,654,337,800,332,0.1978,False,3,-5.329680259494031,-5.000293741732374,179.80918918064037,Closed,Closed,False,0.503,0.478,Looking Closed
146,8.754,True,652,335,801,331,0.207,False,3,-5.32141980929551,-7.062368418504347,179.9673145241709,Center,Center,True,0.494,0.497,Focused
147,8.813,True,653,334,802,332,0.2292,False,3,-4.909196961944923,-7.374013280429353,-179.6193482621763,Center,Center,True,0.482,0.478,Focused
148,8.873,True,654,335,803,331,0.2218,False,3,-4.361302402219375,-11.241491695897242,-179.9127043416504,Center,Center,True,0.472,0.479,Focused
149,8.933,True,655,335,804,332,0.223,False,3,-4.416893468783644,-11.970057116961303,-179.77666227202567,Center,Center,True,0.494,0.489,Focused
150,8.993,True,655,336,805,332,0.2307,False,3,-4.352080399642589,-11.27584065630726,-179.5008802476307,Center,Center,True,0.482,0.47,Focused
151,9.053,True,656,336,804,331,0.2316,False,3,-4.639590983117237,-8.951961655775163,-179.68994523657466,Center,Center,True,0.491,0.474,Focused
152,9.113,True,654,336,803,333,0.2485,False,3,-4.661181782705447,-9.496007807952104,-179.536236892351,Center,Center,True,0.479,0.46,Focused
153,9.173,True,653,336,802,332,0.2304,False,3,-4.861802369656792,-9.62244590584653,-179.83493387517174,Center,Center,True,0.476,0.498,Focused
154,9.233,True,653,336,802,331,0.2321,False,3,-4.599827865647912,-10.771835522311829,-179.89338955778683,Center,Center,True,0.499,0.529,Focused
155,9.293,True,653,336,803,332,0.2373,False,3,-4.574296809156023,-10.683959300131448,-179.88110075071464,Center,Center,True,0.498,0.533,Focused
156,9.353,True,652,336,801,332,0.2418,False,3,-4.49708660283926,-12.585016700981981,179.83772508946433,Center,Up,False,0.493,0.509,Looking Up
157,9.413,True,651,337,803,333,0.2365,False,3,-4.312025587091155,-12.136908276345798,-179.90296958880248,Center,Up,False,0.476,0.49,Looking Up
158,9.473,True,651,337,802,332,0.245,False,3,-4.2466050698881,-13.8748268619207,-179.71574686877122,Center,Up,False,0.487,0.496,Looking Up
159,9.533,True,650,337,802,332,0.2377,False,3,-4.641371260024447,-14.702746362020276,-179.18332259604318,Center,Up,False,0.473,0.462,Looking Up
160,9.593,True,651,337,802,331,0.2473,False,3,-4.234352024413333,-15.871093216188072,-179.42325932458274,Center,Up,False,0.476,0.483,Looking Up
161,9.653,True,650,336,801,331,0.2311,False,3,-4.3330168511329825,-15.478671593992654,-179.71312422016035,Center,Up,False,0.463,0.441,Looking Up
162,9.713,True,650,336,802,332,0.2241,False,3,-4.471646137900813,-15.554059175805445,-179.62183222375214,Center,Up,False,0.468,0.443,Looking Up
163,9.773,True,650,337,801,332,0.227,False,3,-4.442767529831673,-15.240208665331814,-179.6648826069311,Center,Up,False,0.469,0.448,Looking Up
164,9.833,True,650,337,802,332,0.228,False,3,-4.341612301167791,-16.28220928366654,-179.78148145171124,Center,Up,False,0.473,0.438,Looking Up
165,9.893,True,650,337,803,332,0.2292,False,3,-4.0804433144446435,-17.234053334851044,-179.75142975943334,Center,Up,False,0.466,0.454,Looking Up
166,9.953,True,651,337,803,332,0.2148,True,4,-4.011704500442066,-16.246769185609423,-179.82807725496158,Center,Up,False,0.464,0.435,Blink
167,10.013,True,652,337,805,332,0.219,False,4,-4.530766207239591,-16.636552701170125,-179.56509335574782,Center,Up,False,0.448,0.423,Looking Up
168,10.073,True,653,337,805,332,0.2219,False,4,-3.8069689428493394,-17.11649936940242,-179.80109869736052,Center,Up,False,0.454,0.431,Looking Up
169,10.133,True,652,336,806,332,0.2164,True,5,-4.2095342526964314,-17.29343037888898,-179.81921803035516,Center,Up,False,0.457,0.408,Blink
170,10.192,True,653,336,806,332,0.217,False,5,-4.225330909778158,-16.410971734788433,-179.86381069774666,Center,Up,False,0.454,0.409,Looking Up
